placeID,open ,close,day
135111,0:00,23:30,Mon;Tue;Wed;Thu;Fri;
135111,0:00,23:30,Sat;
135111,0:00,23:30,Sun;
135110,8:00,19:00,Mon;Tue;Wed;Thu;Fri;
135110,0:00,0:00,Sat;
135110,0:00,0:00,Sun;
135109,8:00,21:00,Mon;Tue;Wed;Thu;Fri;
135109,8:00,21:00,Sat;
135109,8:00,21:00,Sun;
135108,0:00,23:30,Mon;Tue;Wed;Thu;Fri;
135108,0:00,23:30,Sat;
135108,0:00,23:30,Sun;
135107,7:00,23:30,Mon;Tue;Wed;Thu;Fri;
135107,7:00,23:30,Sat;
135107,7:00,23:30,Sun;
135106,18:00,23:30,Mon;Tue;Wed;Thu;Fri;
135106,18:00,23:30,Sat;
135106,18:00,21:00,Sun;
135105,0:00,23:30,Mon;Tue;Wed;Thu;Fri;
135105,20:30,23:30,Sat;
135105,0:00,23:30,Sun;
135104,0:00,23:30,Mon;Tue;Wed;Thu;Fri;
135104,0:00,23:30,Sat;
135104,0:00,23:30,Sun;
135103,12:00,22:00,Mon;Tue;Wed;Thu;Fri;
135103,12:00,23:00,Sat;
135103,12:00,22:00,Sun;
135102,9:00,23:00,Mon;Tue;Wed;Thu;Fri;
135102,9:00,1:00,Sat;
135102,9:00,22:00,Sun;
135101,13:00,8:00,Mon;Tue;Wed;Thu;Fri;
135101,13:00,8:00,Sat;
135101,13:00,8:00,Sun;
135100,14:00,23:30,Mon;Tue;Wed;Thu;Fri;
135100,14:00,23:30,Sat;
135100,14:00,23:30,Sun;
135099,13:00,23:00,Mon;Tue;Wed;Thu;Fri;
135099,13:00,0:00,Sat;
135099,13:00,22:00,Sun;
135098,13:00,23:30,Mon;Tue;Wed;Thu;Fri;
135098,13:00,0:30,Sat;
135098,13:00,1:00,Sun;
135097,10:00,23:30,Mon;Tue;Wed;Thu;Fri;
135097,10:00,23:30,Sat;
135097,11:00,23:30,Sun;
135094,11:00,23:30,Mon;Tue;Wed;Thu;Fri;
135094,11:00,23:30,Sat;
135094,11:00,22:00,Sun;
135093,12:00,22:00,Mon;Tue;Wed;Thu;Fri;
135093,12:00,22:00,Sat;
135093,12:00,22:00,Sun;
135092,9:00,17:00,Mon;Tue;Wed;Thu;Fri;
135092,9:00,13:00,Sat;
135092,0:00,23:30,Sun;
135091,11:00,21:00,Mon;Tue;Wed;Thu;Fri;
135091,11:00,21:00,Sat;
135091,11:00,21:00,Sun;
135090,7:00,0:00,Mon;Tue;Wed;Thu;Fri;
135090,7:00,0:00,Sat;
135090,7:00,0:00,Sun;
135089,13:00,20:00,Mon;Tue;Wed;Thu;Fri;
135089,13:00,20:00,Sat;
135089,13:00,20:00,Sun;
135088,9:00,16:00,Mon;Tue;Wed;Thu;Fri;
135088,0:00,0:00,Sat;
135088,0:00,0:00,Sun;
135086,8:00,23:00,Mon;Tue;Wed;Thu;Fri;
135086,8:00,23:00,Sat;
135086,8:00,23:00,Sun;
135085,0:00,0:00,Mon;Tue;Wed;Thu;Fri;
135085,0:00,0:00,Sat;
135085,0:00,0:00,Sun;
135084,11:00,23:00,Mon;Tue;Wed;Thu;Fri;
135084,11:00,23:00,Sat;
135084,11:00,23:00,Sun;
135082,10:00,18:00,Mon;Tue;Wed;Thu;Fri;
135082,10:00,18:00,Sat;
135082,10:00,18:00,Sun;
135081,14:00,23:30,Mon;Tue;Wed;Thu;Fri;
135081,14:00,23:30,Sat;
135081,14:00,23:30,Sun;
